date,london
1-Apr-09,352
2-Apr-10,389
3-Apr-11,403
4-May-11,421
5-Jun-11,429
6-Jul-11,436
7-Aug-11,447
8-Sep-11,432
9-Oct-11,440
10-Nov-11,443
11-Dec-11,443
12-Jan-12,442
13-Feb-12,441
14-Mar-12,432
15-Apr-12,423
16-May-12,395
17-Jun-12,390
18-Jul-12,402
19-Aug-12,406
20-Sep-12,397
21-Oct-12,403
22-Nov-12,382
23-Dec-12,388
24-Jan-13,387
25-Feb-13,412
26-Mar-13,394
27-Apr-13,391
28-May-13,394
29-Jun-13,400
30-Jul-13,385
31-Aug-13,398
32-Sep-13,404
33-Oct-13,396
34-Nov-13,379
35-Dec-13,372
36-Jan-14,378
37-Feb-14,366
38-Mar-14,357
39-Apr-14,348
40-May-14,344
41-Jun-14,334
42-Jul-14,318
43-Aug-14,301
44-Sep-14,287
45-Oct-14,296
46-Nov-14,298
47-Dec-14,295
48-Jan-15,283
49-Feb-15,287
51-Mar-15,285
52-Apr-15,286
53-May-15,308
54-Jun-15,307
55-Jul-15,297
56-Aug-15,276
57-Sep-15,297
58-Oct-15,294
59-Nov-15,288
60-Dec-15,294
61-Jan-16,290
62-Feb-16,291
63-Mar-16,274
64-Apr-16,280
65-May-16,279
66-Jun-16,281
67-Jul-16,289
68-Aug-16,292
69-Sep-16,266
70-Oct-16,259
71-Nov-16,266
72-Dec-16,260
73-Jan-17,268
74-Feb-17,282
75-Mar-17,297
76-Apr-17,290
77-May-17,250.6562162
78-Jun-17,248.0819061
79-Jul-17,245.507596
80-Aug-17,242.9332859
81-Sep-17,240.3589758
82-Oct-17,237.7846657
83-Nov-17,235.21035568
